,pred,real
591,-12.20625,-19.88445931705187
592,-13.556250000000002,-18.505363637293343
593,-14.11875,-16.831098503452278
594,-13.33125,-13.98642387294123
595,-11.08125,-11.120310279584585
596,-8.49375,-7.484190265408557
597,-5.79375,-3.270602766894574
598,-3.09375,0.4698075113211757
599,-0.73125,4.999238192689295
600,1.8562500000000002,8.86198160674366
601,5.11875,12.89321067694235
602,7.8187500000000005,16.51318869833584
603,10.856250000000001,19.8929548437474
604,12.656250000000002,22.20707184698369
605,13.66875,24.40021068846865
606,15.24375,25.49469911858376
607,16.48125,26.816953689926144
608,17.83125,28.18931841853827
609,18.618750000000002,30.77806759131707
610,19.293750000000003,31.90753777993725
611,21.09375,31.695087728775285
612,21.543750000000003,31.612544436445
613,20.868750000000002,30.42321662846765
614,20.643750000000004,27.31695988236157
615,19.18125,23.721141153931487
616,16.59375,20.7222086001931
617,15.01875,16.238234679715042
618,12.09375,11.315310016636651
619,9.168750000000001,7.070929888284402
620,6.1312500000000005,2.927043824494848
621,3.2062500000000003,-2.035793719723113
622,0.056249999999999994,-5.362738141351518
623,-3.09375,-8.972511560618791
624,-5.11875,-11.091715976559149
625,-7.03125,-15.036846243731052
626,-9.39375,-16.420033643658737
627,-10.96875,-19.496815389643107
628,-13.33125,-20.736198253274484
629,-14.11875,-20.767650631750215
630,-14.681250000000002,-21.38728572298785
631,-15.356250000000001,-20.57740759999497
632,-15.01875,-19.55737753059707
633,-14.00625,-17.889817085905953
634,-12.65625,-15.465384217458592
635,-11.30625,-12.83489084747043
636,-9.28125,-10.317854210684336
637,-7.593750000000001,-8.297410789008328
638,-6.46875,-6.6084024709216
639,-4.78125,-3.500652909107517
640,-3.54375,-1.0597204308289314
641,-1.8562500000000002,1.9095165597490007
642,-0.39375,4.969328484999921
643,1.63125,8.18340538708748
644,4.78125,10.800111523610294
645,6.1312500000000005,13.32010812333029
646,8.381250000000001,15.571890380571082
647,9.95625,17.84493359952977
648,11.30625,20.41676377279596
649,12.65625,21.943025848502547
650,13.668750000000001,24.03156164942679
651,15.35625,25.949835382339565
652,15.24375,26.94223923526089
653,16.59375,26.871802675954832
654,16.48125,25.154507369761014
655,16.48125,23.045229930005306
656,16.48125,21.514056150466686
657,14.231250000000001,19.75342498798256
658,13.218750000000002,19.12252963911049
659,13.21875,17.5786966387096
660,12.09375,16.28807634841982
661,11.53125,14.001478529135872
662,10.406250000000002,12.160818480991685
663,9.39375,9.972838154514976
664,8.26875,7.948205663612545
665,6.24375,5.6996043079711205
666,4.78125,1.225123801528768
667,2.8687500000000004,-1.438472005561926
668,0.16875,-5.225500077617564
669,-2.3062500000000004,-8.140833355916289
670,-5.0062500000000005,-11.416767995494563
671,-6.80625,-14.451921523989334
672,-7.8187500000000005,-15.140866105106712
673,-9.16875,-15.05536755171014
674,-10.96875,-16.784012255026372
675,-11.30625,-15.687526658381064
676,-11.19375,-15.025255685361474
677,-10.40625,-14.458419621746328
678,-10.06875,-14.366255538459562
679,-9.95625,-13.081006177934912
680,-9.05625,-12.192194890010551
681,-8.606250000000001,-11.680096059507823
682,-8.381250000000001,-11.592134429209407
683,-7.706250000000001,-9.67188147296327
684,-6.581250000000001,-8.121793285612542
